试卷类别,Egs对应标签题型,题型,基本题型,Directions材料题干,选项与解析,正确答案解析,选项是否随机出现,是否依赖上级父题目,子题目是否可以随机出现
"大学英语六级","词汇","Multiple Choice","选择题","<br />A man walked in off the street and fell flat ________ his face, unconscious.<br />","for_|_on _|_against_|_in ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I've never heard of anyone ________ by a female.<br />","robbing_|_being robbed_|_to be robbed_|_rob,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I&nbsp;had been self-employed for so long that I couldn't imagine ________ for someone else.<br />","to have to work _|_working _|_to work_|_having worked ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He could remember ________ along the road just before the accident happened but he couldn't remember the accident itself.<br />","to have driven_|_driving_|_to drive_|_having driving  ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />They were robbed ________ their wristwatches and shot during the course of the robbery.<br />","of_|_from_|_by _|_with ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We consider ________ the instrument be adjusted each time it is used.<br />","that it necessary_|_necessary that_|_it necessary _|_necessary of it that,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It was in China ________ Dr. Bethune gave his life to the cause of the revolution.<br />","that_|_where_|_in which_|_at which ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He ran ________ no one could catch him.<br />","so fast as_|_very fast that _|_that fast so_|_so fast that,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Young _______ he is, he is equal to the task.<br />","though_|_because_|_as_|_however,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Going out in a hurry, _________.<br />","Floyd's keys were left on the table_|_Floyd left his keys on the table_|_Floyd have left his keys on the tableD_|_the keys were left on the table by Floyd ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />_______ coming of the Space Age, a new area has been added to the study of the planets.<br />","While _|_It is the _|_When the_|_With the,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It was the training that he had as a young man _______ made him such a good engineer.<br />","that_|_has_|_what _|_later,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />My uncle is great. In our family, he's ______ his cooking.<br />","famous about_|_famous with_|_famous for_|_famous in,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The heating system here has an ______ temperature control.<br />","aggressive_|_intentional_|_accidental_|_automatic,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The gasoline ______ destroyed the company and injured many people.<br />","explored_|_extended_|_exported_|_explosion,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Only two people survived the fire that ______ at midnight.<br />","broke out _|_broke off _|_broke up_|_broke down,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />To complete the task successfully, we have to get well prepared ______.<br />","in advance_|_in detail _|_in turn_|_in force ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The policeman went from house to house, ______ whether anyone had seen the lost boy.<br />","inquiring _|_interrupting_|_informing _|_introduction ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />On our trip out of the country we visited ______ in England.<br />","relationship_|_relations_|_relatives _|_personnel ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The strike was not a success because of the workers' leader who ________ the managers.<br />","sold out to_|_sold out_|_sold off_|_sold up,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />In our discussion today I'd like first to ________ the influences that the Internet will exercise on modern life.<br />","account to_|_account for _|_talk_|_say ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I work in the English department that _______ three teaching sections.<br />","makes of_|_constitutes_|_consists of _|_forms ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Being ________ who you really are is the first step to integrity.<br />","open to_|_open for_|_open with_|_open about,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />You asked me if you should move your parents in. Well, I can't advise you on such a question; it's a matter of ________.<br />","consciousness_|_conscience_|_kindness_|_sympathy,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The ________ she is in is whether to get married and live her own life or to stay at home supporting the family.<br />","trouble_|_problem_|_choice_|_dilemma,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Though ________ possible punishment, some students are still inclined to cheat on tests.<br />","aware of_|_knowing_|_recognizing_|_being aware ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />To cheat or not to cheat, this is a ________ of honesty.<br />","question_|_problem _|_request _|_issue ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />To be frank, I'd rather you ________ in the case.<br />","will not be involved_|_not involved_|_not to be involved_|_were not involved ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />If you think that the illness might be serious you should not ______ going to the doctor.<br />","put off _|_hold back_|_put away_|_hold up ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She felt like ________ frustration, but she was determined not to lose her self-control.<br />","to cry out of _|_to cry for_|_crying out of_|_crying for,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The method he used turned out to be _______ in improving the students' English.<br />","effective_|_ability _|_response _|_explicit ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The boss refused to give any _______ on the fact that his workers were out of jobs.<br />","response_|_comment _|_answer_|_reply ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The police searched the city in an effort to catch the man who ______ the murder last week.<br />","limited_|_made _|_did_|_committed,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He has surely ________ his government to continuing down the path of economic reform.<br />","commented_|_communicate _|_guaranteed_|_committed ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It was hard work but we all felt ________ at the end of the project.<br />","embarrassed_|_frustrated _|_rewarded _|_challenged ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The combination of virtual and traditional learning will ________ the scope of every lesson and increase the students' interest.<br />","reflect _|_instruct_|_hinder _|_expand ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />There is talk of raising the admission ________ to restrict the number of students on campus.<br />","assignments_|_requirements_|_commitments _|_minimum ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The Government is ________ to health service in order to make sure that everyone in need of treatment receives it.<br />","expanded _|_committed_|_commented_|_communicated ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>&mdash;Did you telephone the Governor's office?<br />&mdash;Yes, he _______ to be back before tomorrow morning.<br />&nbsp;</p>","expecting_|_is expected _|_has expected _|_is to expect ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I'd rather _______ those important papers with you.<br />","that you shouldn't take_|_not taking_|_please don't take_|_you didn't take ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Do you remember _______ to Professor Smith during your last visit?<br />","to be introduced _|_being introduced_|_having introduced_|_to have introduced ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He can't afford the ordinary comforts of life, _______ luxuries.<br />","not speak of_|_let alone_|_to say nothing _|_let it alone ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He has to decide within a ________ while he is still young and can make choices.<br />","given period_|_giving period_|_period giving_|_periods gives,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Jane said to her husband, &quot;Don't worry. There is no cause for ________ about our daughter's ability to manage herself.&quot;<br />","care _|_concern _|_attention _|_love,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The tap won't ________, and there is water all over the floor.<br />","turn off_|_turn down_|_turn on _|_turn up,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Wearing the right shoes and clothes ________ being fit can make all the difference.<br />","in addition_|_as well as_|_also_|_too ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She had not seen her father all ________, because he mostly worked on the ships.<br />","too much _|_very much_|_that much_|_so much ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Please go away and let me get on with my work ________.<br /><br />&nbsp;</p>","in peace and quiet_|_at peace_|_for silence_|_in quietly ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The idea ________ to him so much that he took it without hesitation.<br />","appealed _|_interested _|_drew _|_attracted ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She didn't try to do anything for her daughter, and ________ it's too late now.<br />","in case _|_in any case_|_at this case_|_in case of ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The girl said she hated ________ he smiled at her.<br />","that way _|_this way_|_the way_|_all the way
,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />If two beliefs, ideas, or interests are in ________, they are very different and are against one another.<br />","struggle_|_fight _|_conflict _|_trouble,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The teacher evaluated the performance of each of his students who ________ evaluated his performance.<br />","by turn_|_in turn_|_at turn_|_on turn ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It should of course be given back. There is no ________ about that.<br />","argument_|_reason_|_view_|_point,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Students will be evaluated by class performance as ________ to class attendance (出席).<br />","against _|_opposed_|_opposite_|_opposing ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />They didn't know what exactly happened; they only heard what ________ a huge blast.<br />","looked like _|_felt like_|_seemed like _|_sounded like ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The advice my father gave me is &quot;work hard and you'll ________.&quot;<br />","get across_|_get ahead_|_get around _|_get about ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He is not my close friend and not one who I can ________ when I'm in trouble.<br />","look forward to_|_look up to_|_look to_|_look on,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I'll call the hotel. I'll tell them we'll ________ tomorrow morning and stay there for two nights.<br />","check in_|_check out _|_check off _|_check over 
,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;No matter what you say, I'm coming ________.<br />","anyway _|_any way _|_in a way _|_in the way ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He believed that the army _______.<br />","needed strengthening _|_needed to strengthen _|_needed to be strengthening _|_need be strengthened,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>&mdash;Why was Fred so upset?<br />&mdash;He isn't used _______ criticized.<br />&nbsp;</p><p>&nbsp;</p>","be_|_to be_|_to being _|_having been ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We have many problems to _______ at the meeting.<br />","discussed_|_will discuss _|_discuss _|_discussing ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp; I am agreeable _______ what you suggest.<br />","for me to do_|_I do _|_of me to do _|_to doing ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />________ left before the deadline, it doesn't seem likely that John will finish the job.<br />","Although such a short time_|_With time so short _|_It is such a short time_|_With such a short time 
,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Jim rode along ____________.<br />","his dog is running and barking after him_|_with his dog's running and barking after him _|_with his dog running and barking after him_|_his dog being running and barking after him 
,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Jack was astonished. He just sat there ____________.<br />","with a wide open mouth_|_with a mouth wide and open _|_with a open wide mouth _|_with his mouth wide open ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />In her last days the poet expressed ________ for her father; she finally had to admit that she was worried about him.<br />","concern_|_distrust_|_anger _|_humor ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />According to him, greedy businesspeople often ________ the government for help in maintaining their position.<br />","looked after_|_looked to_|_looked up_|_looked for,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The tax system favors the very rich ________ ordinary working people.<br />","in against_|_as opposed to _|_opposite to_|_opposing to ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />This has tended to foster (养成) a very negative ________ toward this company and its staff.<br />","sense_|_belief _|_attitude_|_reason ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I'm sure this delightful book will ________ to children of all ages.<br />","appeal_|_attract_|_interest_|_draw ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Some came to obtain new power, some to laugh, and others to satisfy their ________.<br />","humor_|_confidence_|_conflict_|_curiosity ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Even if they survive such a serious accident, they will be badly hurt or ________ for life.<br />","cured_|_crippled _|_cared_|_contracted ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Disease _________ during the journey and many passengers had to be rushed to hospital for treatment.<br />","broke out_|_broke down_|_started off _|_started out ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />A good swimmer should learn to __________ the movements of his arms and legs.<br />","combine_|_connect _|_cooperate_|_coordinate,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It is considered inappropriate for a former president to _________ in commerce.<br />","occupy _|_adjust_|_conduct_|_engage ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The students and their parents have repeatedly __________ to the school board about heavy work assignments.<br />","told _|_complained_|_said_|_explained ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The products have been __________ to strict tests before leaving the factory.<br />","subjected_|_adjusted _|_objected_|_constricted,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Our television set is out of order. Could you come and __________ it for us?<br />","see through_|_see out _|_see to _|_see over,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;__________ they have taken matters into their hands, the pace of events has quickened.<br />","As that_|_So that _|_Now that_|_For that ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Our neighbor said if we made more noise he would _________ us to the police.<br />","inform of _|_complain about_|_report to_|_care for ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She _________ him to find answers to her problems.<br />","learned from_|_came into_|_leaned on _|_subjected to 
,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It is unthinkable that you _______ the wedding uninvited.<br />","went in_|_should go to_|_should go_|_go before ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;Is there anything you want from the town? I am going to get _______.<br />","these letters mail _|_these letters mailed _|_mailed these letters_|_to mail these letters ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;He appeared __________ what had been said, though he heard just fine.<br />","to hear_|_have not heard_|_to be hearing_|_not to have heard,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He denied __________ these computers before.<br />","to see_|_saw_|_seen _|_having seen,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />If you have difficulty ____________ a particular book, please ask one of the librarians for assistance.<br />","to locate_|_locate _|_locating _|_of locating ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I'm sorry ____________ your meeting, but may I speak with Michael for a moment?<br />","interrupting_|_to interrupt_|_in interrupting _|_have interrupted ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />When someone ____________, they gradually change from being a child into being an adult.<br />","grows on _|_grows out_|_grows further_|_grows up,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The child will ____________ by making relatively few distinctions in the language.<br />","start out_|_start in_|_start for_|_start on ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />____________ international pressure, progress has slowed in the peace talks.<br />","In despite of _|_Despite_|_Despite of_|_In spite 
,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;____________ you, but could you help me one more time with the copier?<br />","Sorry to bother _|_Sorry bothering _|_Sorry I bother_|_Sorry for the bother ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Richard was ____________ in the bombing of 1984, and had been in a wheelchair ever since.<br />","a cripple_|_being crippled _|_crippled_|_cripple ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Riding a bike helps develop a child's sense of ____________.<br />","direction_|_movement _|_balance_|_coordination ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Joe was ____________ the school wall, smoking a cigarette.<br />","leaned against_|_leaned to _|_leaning to_|_leaning against,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Carter is in charge of the office while I'm ____________.<br />","leaving_|_on leaving _|_on leave_|_on relief ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Although we welcome the proposal, we shall ____________ detailed examination in the committee.<br />","subject it to_|_subject to _|_subject to it _|_subject it ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It's not easy to ____________ to the top in show business.<br />","make out_|_make it _|_make up_|_make them ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We used to have great times ____________ together.<br />","to talk _|_talk_|_in talking_|_talking ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />It is very difficult, for the time being, to ________ how much money is needed.<br />","account_|_sign _|_range_|_estimate ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Have you ever noticed that Jack always ________ a picture of quiet self-worth?<br />","impresses_|_focuses_|_projects_|_communicates ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />She has been known to become upset at the ________ of blood.<br />","sight_|_view_|_show _|_range ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The age ________ of the study population will greatly influence the final result.<br />","barrier_|_position _|_distance_|_range,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />From a ________, he could see the tall chimneys of the factory.<br />","sight_|_view_|_distance_|_range,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>Edwina's office faced south and had a(n) ________ of the lake.<br />&nbsp;</p>","sight _|_look_|_impression_|_view,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />For most people in China, the bicycle is still their main ________ of transport.<br />","means_|_impression_|_attraction_|_course,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p>The movement and noise of the machines ________ him completely.<br />&nbsp;</p>","reacted_|_hold_|_noticed_|_absorbed ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Mary was so _______ in her job that she didn't hear anybody knocking at the door.<br />","attracted_|_excited_|_absorbed_|_drawn ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />His facial ________ told me that he didn't want to discuss the issue.<br />","expression_|_feeling_|_meaning_|_show,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Given the general ________ of his health, it may take him a while to recover from the operation.<br />","function_|_situation_|_manner_|_state ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />To secure our future, we need a(n) ________ economic strategy.<br />","consistent_|_obvious_|_interested _|_huge ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Snap judgments, if ________, have usually been considered signs of immaturity or lack of common sense.<br />","taking seriously_|_taken seriously_|_take seriously _|_to be taken seriously ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Being with his family for a few days, I gained one or two insights ________ the reason he behaves the way he does.<br />","into_|_of_|_on_|_off,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We prefer fully _______ the plan _______ it into execution in a hurry.<br />","discussing... to put _|_discussing... than put_|_discussing... to putting_|_to discuss... than to put ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />&nbsp;I intended _______ you last Sunday, but I had no time.<br />","to have called on_|_calling on_|_to be calling on _|_to be called on ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />With a lot of mathematical problems ________, Jack was free to go to the cinema for a change in scenery.<br />","to be solved_|_solved _|_solving_|_to solve ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p><br />Robin thought that the best _______ to learning a foreign language is the study of the spoken language.<br /><br />&nbsp;</p>","method_|_way _|_means _|_approach,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Listening, speaking, reading, and then writing _______ the basic order in language learning.<br />","assists_|_constitutes _|_establishes_|_founds  ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />If you try to learn too many things at a time, you may get _______.<br />","alarmed_|_scared _|_surprised_|_confused ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He's not got another job yet and it's not ______ he will for some time.<br />","likes_|_unlike_|_likely _|_liked,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The young professor ______ himself as an international leader in the field of mathematics.<br />","established_|_built _|_founded _|_constructed,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />His thoughts were _______ from the subject by the arrival of his friends.<br />","attracted _|_suffered_|_distracted_|_related,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The university has already cut its budget as much as possible without ______ its quality and reputation.<br />","correcting_|_adopting_|_risking_|_effecting ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />______ your age or knowledge of the language, you'll be 100% involved in your studies from the first lesson to the last.<br />","As a result of _|_In spite_|_Despite of _|_Regardless of ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />His policies, especially in the first two years of his presidency, have often been ______ and contradictory.<br />","confuse _|_confusing_|_demanded_|_demanding ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He said he had caught a bad cold and told me to ________ him.<br />","stay at _|_stay up_|_stay in_|_stay away from,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />The thief's actions ________ a heavy punishment, and the judge sentenced him to ten years in prison.<br />","called out_|_called at_|_called for_|_called on,2","","0","0","2"
"大学英语四级+大学英语六级","语法","Multiple Choice","选择题","<p style=""text-align: justify"">After&nbsp;10 years, all those youngsters became ________.</p>","grown-ups _|_growns-ups_|_grown-up_|_growns-up,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Don't offer him a cigarette; he's trying to give it ________.<br />","in_|_for_|_off_|_up,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I know nothing about him ______ that he lives next door with a peculiar dog.<br />","except with_|_addition to_|_except_|_only,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />________ the trashman went to the garden to pick up garbage, the old lady would stare at him in surprise.<br />","Each time_|_At a time_|_At one time_|_Once upon a time ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He lived in Shanghai and Beijing, but doesn't like ________ city very much.<br />","neither_|_both_|_each_|_either,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Go ________ home at once and don't stop off anywhere on the route.<br />","just_|_only_|_right_|_rightly,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<p><br />Thanks go to the trashmen who leave the streets ________ each night.<br />&nbsp;</p>","cleanest_|_cleaned_|_cleaning_|_cleanlier,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />With the job ________, he went to see a film with his colleagues.<br />","done_|_doing_|_to do _|_do,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Neither his friends nor his mother ________ his marriage to that girl.<br />","accept_|_accepts_|_agree_|_agrees,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He made up his mind to ________ the post till the end of the year.<br />","keep in_|_remain under_|_stay at_|_go on ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Good managing of a company ________ great efforts.<br />","calls for_|_calls out_|_calls in_|_calls at ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />No sooner _________ than the truck started off.<br />","his luggage was loaded_|_had his luggage been loaded_|_loaded his luggage _|_his luggage was being loaded ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Most people have no real idea how to change to healthy food, and Maureen was no ________.<br />","foundation_|_possibility_|_exception_|_ignorance,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Just as the train was ________ in, there was a shout and someone fell onto the track.<br />","arriving_|_pulling_|_reaching_|_turning,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />These were the people who ________ using force to stop violence.<br />","advocated_|_argued_|_intended_|_offended,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Such thoughts will ________ the way the courts decide on what sentence to pass on the accused.<br />","effect_|_impress_|_absorb_|_affect,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Their insecurities too often ________ the managers of invaluable support, just when they needed it most.<br />","stole_|_revealed_|_omitted_|_robbed,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We were told that most of our luggage would be ________ by sea.<br />","approached_|_transported_|_handled_|_communicated,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He apologizes for his comments and says he had no intention of ________ the community.<br />","robbing_|_barking_|_collapsing_|_offending,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />When I'm going out in the evening I use the bike if I can, ________ the car.<br />","regardless of_|_more than_|_other than_|_rather than,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />Before a buyer can make an official offer to buy, he must have the house ________.<br />","to be valued_|_being valued_|_valued_|_valuing,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />________ 25 years ago next month, the club is holding a party for past and present members.<br />","Forming_|_Having form_|_Formed_|_To form ,2","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />A man walked in off the street and fell flat ________ his face, unconscious.<br />","for_|_on_|_against_|_in,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I've never heard of anyone ________ by a female.<br />","robbing_|_being robbed_|_to be robbed_|_rob,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />I had been self-employed for so long that I couldn't imagine ________ for someone else.<br />","to have to work_|_working_|_to work _|_having worked ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />He could remember ________ along the road just before the accident happened but he couldn't remember the accident itself.<br />","to have driven_|_driving_|_to drive_|_having driving ,1","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />We can't speak _______ our teacher.<br />","too highly of_|_too high of_|_highly of too_|_to highly of ,0","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />No one in our class _______ in sports than he.<br />","are more interested_|_are much interested_|_is much interested_|_is more interested ,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />_______ is known to the world, Mark Twain is a great American writer.<br />","That_|_Which_|_It_|_As,3","","0","0","2"
"大学英语六级","词汇","Multiple Choice","选择题","<br />One reason why Hamlet is such a successful play is that _______.<br />","it appeals different to people_|_different people are appealed _|_it appeals to different people_|_people find it appealing to them very much ,2","","0","0","2"
